Model,Dataset,ECE,ACE,Accuracy
coca_ViT-B-32_mscoco_finetuned_laion2b_s13b_b90k,stl10,0.17241032421588898,0.16951319575309753,0.291375
coca_ViT-B-32_mscoco_finetuned_laion2b_s13b_b90k,sun397,0.2032548040151596,0.20323890447616577,0.021918369156511207
coca_ViT-B-32_mscoco_finetuned_laion2b_s13b_b90k,svhn,0.5279772281646729,0.5278733372688293,0.1
coca_ViT-B-32_mscoco_finetuned_laion2b_s13b_b90k,voc2007,0.35364267230033875,0.3535340428352356,0.1273648476762707
coca_ViT-L-14_mscoco_finetuned_laion2b_s13b_b90k,cars,0.032704051584005356,0.03317263349890709,0.8858188692246456
coca_ViT-L-14_mscoco_finetuned_laion2b_s13b_b90k,cifar100,0.051946964114904404,0.05200386792421341,0.7974000000000001
coca_ViT-L-14_mscoco_finetuned_laion2b_s13b_b90k,clevr_closest_object_distance,0.13301709294319153,0.13301710784435272,0.23120552774161807
coca_ViT-L-14_mscoco_finetuned_laion2b_s13b_b90k,clevr_count_all,0.028289398178458214,0.029954498633742332,0.43072227017873027
coca_ViT-L-14_mscoco_finetuned_laion2b_s13b_b90k,country211,0.12040850520133972,0.12039089947938919,0.18137440758293838
coca_ViT-L-14_mscoco_finetuned_laion2b_s13b_b90k,diabetic_retinopathy,0.13844971358776093,0.132843479514122,0.21468008099544772
coca_ViT-L-14_mscoco_finetuned_laion2b_s13b_b90k,dmlab,0.41682168841362,0.4166838228702545,0.1644959914368733
coca_ViT-L-14_mscoco_finetuned_laion2b_s13b_b90k,dtd,0.0829419270157814,0.08384682238101959,0.6228723404255319
coca_ViT-L-14_mscoco_finetuned_laion2b_s13b_b90k,eurosat,0.04675763472914696,0.04883193597197533,0.5917477036665952
coca_ViT-L-14_mscoco_finetuned_laion2b_s13b_b90k,fer2013,0.3516862094402313,0.35177674889564514,0.26224939337819836
coca_ViT-L-14_mscoco_finetuned_laion2b_s13b_b90k,flowers,0.05510899797081947,0.05871959030628204,0.7138467619047322
coca_ViT-L-14_mscoco_finetuned_laion2b_s13b_b90k,gtsrb,0.053481537848711014,0.05369260162115097,0.5183025736668304
coca_ViT-L-14_mscoco_finetuned_laion2b_s13b_b90k,kitti_closest_vehicle_distance,0.29553911089897156,0.2913239598274231,0.3876770869513253
coca_ViT-L-14_mscoco_finetuned_laion2b_s13b_b90k,mnist,0.050617605447769165,0.04829426854848862,0.8173212924377132
coca_ViT-L-14_mscoco_finetuned_laion2b_s13b_b90k,pcam,0.18920515477657318,0.18923677504062653,0.44951938661355506
coca_ViT-L-14_mscoco_finetuned_laion2b_s13b_b90k,pets,0.02389303408563137,0.022869719192385674,0.9147756120258642
coca_ViT-L-14_mscoco_finetuned_laion2b_s13b_b90k,renderedsst2,0.1534816026687622,0.15536631643772125,0.6123378785246946
coca_ViT-L-14_mscoco_finetuned_laion2b_s13b_b90k,resisc45,0.06764978170394897,0.0674019530415535,0.6922177690415106
coca_ViT-L-14_mscoco_finetuned_laion2b_s13b_b90k,stl10,0.0033653012942522764,0.0015071233501657844,0.9865
coca_ViT-L-14_mscoco_finetuned_laion2b_s13b_b90k,sun397,0.06964974105358124,0.06965205818414688,0.7183552384585506
coca_ViT-L-14_mscoco_finetuned_laion2b_s13b_b90k,svhn,0.048621054738759995,0.050054315477609634,0.4414921324075258
coca_ViT-L-14_mscoco_finetuned_laion2b_s13b_b90k,voc2007,0.08424070477485657,0.08427367359399796,0.8290546442828866
